2021-03-16 09:22:39 | Debug | SR | server socket init success
2021-03-16 09:23:07 | Debug | SR | server socket init success
2021-03-16 09:26:45 | Debug | SR | server socket init success
2021-03-16 09:26:45 | Debug | SR | get socket connection: 0
2021-03-16 09:34:11 | Debug | SR | server socket init success
2021-03-16 09:34:13 | Debug | SR | get socket connection: 0
2021-03-16 09:35:48 | Debug | SR | server socket init success
2021-03-16 09:35:51 | Debug | SR | get socket connection: 0
2021-03-16 09:37:48 | Debug | SR | server socket init success
2021-03-16 09:37:52 | Debug | SR | get socket connection: 0
2021-03-16 09:38:12 | Warn | SR | bind failed with Error: 
2021-03-16 09:39:46 | Debug | SR | server socket init success
2021-03-16 09:39:49 | Debug | SR | get socket connection: 0
2021-03-16 09:40:25 | Warn | SR | bind failed with Error: 
2021-03-16 09:40:57 | Debug | SR | server socket init success
2021-03-16 09:40:58 | Debug | SR | get socket connection: 0
2021-03-16 09:41:11 | Debug | SR | (Server): free empty socket
2021-03-16 09:41:39 | Debug | SR | server socket init success
2021-03-16 09:41:42 | Debug | SR | get socket connection: 0
2021-03-16 09:45:36 | Debug | SR | server socket init success
2021-03-16 09:45:38 | Debug | SR | get socket connection: 0
2021-03-16 09:45:48 | Debug | SR | (Server): free empty socket
2021-03-16 09:48:40 | Debug | SR | server socket init success
2021-03-16 09:48:41 | Debug | SR | get socket connection: 0
2021-03-16 09:50:17 | Debug | SR | (Server): free empty socket
2021-03-16 09:58:19 | Debug | SR | get socket connection: 0
2021-03-16 10:12:36 | Warn | SR | bind failed with Error
2021-03-16 10:12:42 | Warn | SR | bind failed with Error
2021-03-16 10:17:41 | Debug | SR | server socket init success
2021-03-16 10:17:43 | Debug | SR | get socket connection: 0
2021-03-16 10:17:43 | Debug | SR | Send heartbeat
2021-03-16 10:17:53 | Debug | SR | Send heartbeat
2021-03-16 10:18:03 | Debug | SR | Send heartbeat
2021-03-16 10:18:13 | Debug | SR | Send heartbeat
2021-03-16 10:18:23 | Debug | SR | Send heartbeat
2021-03-16 10:18:33 | Debug | SR | Send heartbeat
2021-03-16 10:18:43 | Debug | SR | Send heartbeat
2021-03-16 10:18:53 | Debug | SR | Send heartbeat
2021-03-16 10:19:03 | Debug | SR | Send heartbeat
2021-03-16 10:19:13 | Debug | SR | Send heartbeat
2021-03-16 10:19:23 | Debug | SR | Send heartbeat
2021-03-16 10:19:33 | Debug | SR | Send heartbeat
2021-03-16 10:19:43 | Debug | SR | Send heartbeat
2021-03-16 10:19:53 | Debug | SR | Send heartbeat
2021-03-16 10:20:03 | Debug | SR | Send heartbeat
2021-03-16 10:20:13 | Debug | SR | Send heartbeat
2021-03-16 10:20:23 | Debug | SR | Send heartbeat
2021-03-16 10:20:33 | Debug | SR | Send heartbeat
2021-03-16 10:20:43 | Debug | SR | Send heartbeat
2021-03-16 10:20:53 | Debug | SR | Send heartbeat
2021-03-16 10:21:03 | Debug | SR | Send heartbeat
2021-03-16 10:21:13 | Debug | SR | Send heartbeat
2021-03-16 10:21:23 | Debug | SR | Send heartbeat
2021-03-16 10:21:33 | Debug | SR | Send heartbeat
2021-03-16 10:21:43 | Debug | SR | Send heartbeat
2021-03-16 10:21:53 | Debug | SR | Send heartbeat
2021-03-16 10:22:03 | Debug | SR | Send heartbeat
2021-03-16 10:22:13 | Debug | SR | Send heartbeat
2021-03-16 10:22:23 | Debug | SR | Send heartbeat
2021-03-16 10:22:33 | Debug | SR | Send heartbeat
2021-03-16 10:22:43 | Debug | SR | Send heartbeat
2021-03-16 10:22:53 | Debug | SR | Send heartbeat
2021-03-16 10:23:03 | Debug | SR | Send heartbeat
2021-03-16 10:23:13 | Debug | SR | Send heartbeat
2021-03-16 10:23:23 | Debug | SR | Send heartbeat
2021-03-16 10:23:33 | Debug | SR | Send heartbeat
2021-03-16 11:03:15 | Debug | SR | server socket init success
2021-03-16 11:03:27 | Debug | SR | get socket connection: 0
2021-03-16 11:03:27 | Debug | SR | Send heartbeat
2021-03-16 11:03:37 | Debug | SR | Send heartbeat
2021-03-16 11:03:47 | Debug | SR | Send heartbeat
2021-03-16 11:03:57 | Debug | SR | Send heartbeat
2021-03-16 11:04:07 | Debug | SR | Send heartbeat
2021-03-16 11:04:17 | Debug | SR | Send heartbeat
2021-03-16 11:04:27 | Debug | SR | Send heartbeat
2021-03-16 11:04:37 | Debug | SR | Send heartbeat
2021-03-16 11:04:47 | Debug | SR | Send heartbeat
2021-03-16 11:06:50 | Debug | SR | server socket init success
2021-03-16 11:06:52 | Debug | SR | get socket connection: 0
2021-03-16 11:06:52 | Debug | SR | Send heartbeat
2021-03-16 11:07:02 | Debug | SR | Send heartbeat
2021-03-16 11:07:12 | Debug | SR | Send heartbeat
2021-03-16 11:07:22 | Debug | SR | Send heartbeat
2021-03-16 11:07:32 | Debug | SR | Send heartbeat
2021-03-16 11:07:42 | Debug | SR | Send heartbeat
2021-03-16 11:07:52 | Debug | SR | Send heartbeat
2021-03-16 11:08:02 | Debug | SR | Send heartbeat
2021-03-16 11:12:28 | Debug | SR | server socket init success
2021-03-16 11:12:32 | Debug | SR | get socket connection: 0
2021-03-16 11:12:32 | Debug | SR | Send heartbeat
2021-03-16 11:12:35 | Debug | SR | Temp String : 
2021-03-16 11:12:42 | Debug | SR | Send heartbeat
2021-03-16 11:12:52 | Debug | SR | Send heartbeat
2021-03-16 11:13:02 | Debug | SR | Send heartbeat
2021-03-16 11:13:12 | Debug | SR | Send heartbeat
2021-03-16 11:13:22 | Debug | SR | Send heartbeat
2021-03-16 11:13:32 | Debug | SR | Send heartbeat
2021-03-16 11:13:42 | Debug | SR | Send heartbeat
2021-03-16 11:13:52 | Debug | SR | Send heartbeat
2021-03-16 11:14:02 | Debug | SR | Send heartbeat
2021-03-16 11:14:12 | Debug | SR | Send heartbeat
2021-03-16 11:14:22 | Debug | SR | Send heartbeat
2021-03-16 11:14:32 | Debug | SR | Send heartbeat
2021-03-16 11:14:42 | Debug | SR | Send heartbeat
2021-03-16 11:14:52 | Debug | SR | Send heartbeat
2021-03-16 11:15:05 | Warn | SR | bind failed with Error
2021-03-16 11:17:35 | Debug | SR | server socket init success
2021-03-16 11:17:40 | Debug | SR | get socket connection: 0
2021-03-16 11:17:40 | Debug | SR | Send heartbeat
2021-03-16 11:17:44 | Debug | SR | Temp String : 11
2021-03-16 11:17:50 | Debug | SR | Send heartbeat
2021-03-16 11:18:00 | Debug | SR | Send heartbeat
2021-03-16 11:18:10 | Debug | SR | Send heartbeat
2021-03-16 11:18:20 | Debug | SR | Send heartbeat
2021-03-16 11:18:30 | Debug | SR | Send heartbeat
2021-03-16 11:18:40 | Debug | SR | Send heartbeat
2021-03-16 11:19:04 | Warn | SR | bind failed with Error
2021-03-16 11:21:44 | Debug | SR | server socket init success
2021-03-16 11:21:46 | Debug | SR | get socket connection: 0
2021-03-16 11:21:46 | Debug | SR | Send heartbeat
2021-03-16 11:21:50 | Debug | SR | Temp String : 222
2021-03-16 11:21:56 | Debug | SR | Send heartbeat
2021-03-16 11:22:06 | Debug | SR | Send heartbeat
2021-03-16 11:22:16 | Debug | SR | Send heartbeat
2021-03-16 11:22:26 | Debug | SR | Send heartbeat
2021-03-16 11:22:36 | Debug | SR | Send heartbeat
2021-03-16 11:22:46 | Debug | SR | Send heartbeat
